project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
"GitHub - stevennovations/Crabifier: Android App that classifies Crab Images based on Olivacea, Serrata, Tranqebarica.",0,Java,android,8,3,1,1,0,1,0,2018
GitHub - Steffanic/FriendSync: Let's Hang Out! FriendSync is an app that makes it easier to get out with your people more often!,0,Dart,android,30,16,1,1,0,1,0,2021
GitHub - srayaa/rebateMall: 返利商城,0,Objective-C,ios,14,59,1,1,0,1,0,2018
GitHub - srayaa/JD_Mall: 京东购物商城,0,Objective-C,ios,62,34,2,3,2,1,0,2018
GitHub - square/leakcanary: A memory leak detection library for Android.,27000,Kotlin,android,1631,421,3,7,30,1,0,2015
GitHub - sporsh/adb-dissector: Wireshark dissector for the Android Debug Bridge (ADB) protocol,8,C,android,4,3,1,1,0,1,0,2013
"GitHub - Solido/awesome-flutter: An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",38400,Dart,ios,1741,714,130,3,263,1,34,2017
GitHub - skaradimitriou/ElmepaUniApp: This app was developed for ELMEPA University in Agios Nikolaos Crete as a useful tool for the students. Live at Google Play Kotlin | Coroutines | Jsoup | Picasso | Room Db,0,Kotlin,android,223,168,4,1,0,1,0,2020
GitHub - silentsignal/NFCat: Mifare Classic CUI for NFC-enabled Android devices,1,Java,android,25,18,3,1,0,1,0,2013
GitHub - SIKV/Photos,48,Kotlin,android,271,332,3,2,1,1,0,2018
GitHub - siddharta1337/Manual-del-guerrero-movil-Phonegap: Ejemplos de código PhoneGap,14,JavaScript,android,26,4,1,1,0,1,0,2012
GitHub - SheetJS/sheetjs: SheetJS Community Edition -- Spreadsheet Data Toolkit,28300,JavaScript,ios,577,311,9,5,46,1,0,2012
GitHub - ShahParin/AttendanceManager: An attendance organiser android app,0,Java,android,4,3,1,1,0,1,0,2019
GitHub - shadowsocks/shadowsocks-android: A shadowsocks client for Android,32100,Kotlin,android,3628,3570,5,5,12,1,0,2012
GitHub - seichter/tacitpixel: Tacit Pixel is a small scenegraph prototyping library,1,C,ios,303,103,2,3,2,1,0,2013
GitHub - SDWebImage/SDWebImage: Asynchronous image downloader with cache support as a UIImageView category,23900,Objective-C,ios,3133,252,13,7,60,1,1,2009
GitHub - Sciss/ScalaAndroidCollider: Proof of concept: ScalaCollider runs on Android - NOTE: very old and abandoned,5,Scala,android,3,3,1,1,0,1,0,2010
GitHub - SAP-samples/cloud-sdk-ios-specs: Dependency Manager specs repository for SAP BTP SDK for iOS.,10,Ruby,ios,225,37,2,3,3,1,0,2019
GitHub - samsoncsyu7777/samsoncsyu7777: Web and Mobile Full Stack Software Engineer,0,Markdown,android,92,92,92,1,0,1,0,2021
"GitHub - ryanwong-uk/dazn-code-challenge: DAZN Code Challenge. A take-home code project for the interview process. Using MVVM, Kotlin, Coroutine, Retrofit 2, RoomDB, Hilt, JUnit4, Espresso",0,Kotlin,android,163,31,3,1,1,1,0,2021
GitHub - rudmac/rudlamp: Arduino RGB LED controller by Bluetooth.,4,Java,android,1,1,1,1,0,1,0,2013
GitHub - realtomjoney/PyxlMoose: An open-source pixel art creator for Android.,13,Kotlin,android,606,145,7,1,1,1,0,2021
