project_name,stars_count,Language,Domain,commits_count_total,commits_count_max,commits_count_avg,contributors_count_max,minor_count_max,contributors_count_avg,minor_count_avg,created year
GitHub - gunosy/GunosyAdNetworkSDK-iOS: Gunosy Adnetwork SDK,0,Objective-C,ios,10,13,2,2,0,1,0,2018
GitHub - GrapheneOS/grapheneos.org: Sources for the GrapheneOS website.,184,HTML,android,3161,1359,44,3,15,1,1,2019
GitHub - govote/govote.android: GoVote Android APP,0,Kotlin,android,10,198,2,2,1,1,0,2018
GitHub - google/material-design-icons: Material Design icons by Google,44500,Markdown,ios,155,13396,1,5,10,1,0,2014
GitHub - globules-io/OGX.JS: OGX.JS Javascript Framework for Mobile & Desktop (Webview) & Progressive Web Applications,9,JavaScript,ios,1748,357,12,2,1,1,0,2016
GitHub - giuliom/Cookbook: Cookbook Android app developed with other students during a course at University of Bristol in 2011/12,0,Java,android,7,4,1,1,0,1,0,2017
GitHub - GetStream/stream-chat-swiftui: Official SwiftUI SDK for Stream Chat.,6,Swift,ios,96,35,1,1,1,1,0,2021
GitHub - GetStream/stream-chat-swift: Official iOS SDK for Stream Chat. Build your own chat experience for iOS.,495,Swift,ios,4376,2242,7,9,22,1,0,2019
"GitHub - getsentry/sentry-cocoa: The official Sentry SDK for iOS, tvOS, macOS, watchOS.",458,Objective-C,ios,1920,598,6,6,18,1,0,2016
GitHub - germanleonz/proyecto_pizarra_android: Aplicación Android del Proyecto Pizarra,0,Java,android,9,8,2,1,0,1,0,2013
GitHub - Genymobile/scrcpy: Display and control your Android device,58400,C,android,1474,219,15,4,41,1,1,2017
GitHub - gemilepus/Android-HoughCircles: OpenCV HoughCircles test,0,Java,android,11,8,1,1,0,1,0,2020
GitHub - geerlingguy/Catholic-Diocese-App-iOS: Catholic Diocese App for iOS,14,Objective-C,ios,20,13,2,2,1,1,0,2011
GitHub - geerlingguy/Catholic-Diocese-App-Android: Catholic Diocese App for Android,12,Java,android,35,13,1,2,1,1,0,2012
GitHub - geerlingguy/Android-Map-Marker-Drawables: A standard set of map marker drawables/icons for Android apps.,7,Markdown,android,5,5,1,1,0,1,0,2012
GitHub - gdaguilarc/trainverse-ios: Trainverse app iOS version for project in Mobile development course,0,Swift,ios,19,15,1,2,1,1,0,2020
GitHub - freewizard/AppProxyCap: Application-wide proxy setting for Mac and iOS,125,Objective-C,ios,9,4,1,2,0,1,0,2011
GitHub - franciscollanquipichun/Cliente-Youtube: Cliente android para Youtube,2,Java,android,5,3,1,1,0,1,0,2012
GitHub - FoveaCentral/FaceDetector: Wrapper for Core Image's face-detection API,2,Objective-C,ios,1,1,1,1,0,1,0,2013
GitHub - fmontes/simpleDribbble: A simple gallery for dribbble shots builded with @appcelerator titanium,1,CSS,ios,3,3,1,1,0,1,0,2013
GitHub - flutter/plugins: Plugins for Flutter maintained by the Flutter team,14900,Dart,ios,3220,2860,5,12,62,1,1,2017
GitHub - flutter/plugins: Plugins for Flutter maintained by the Flutter team,14900,Dart,android,3223,2860,5,12,62,1,1,2017
GitHub - flutter/plugins: Plugins for Flutter maintained by the Flutter team,14900,Dart,ios,3222,2860,5,12,62,1,1,2017
GitHub - floehopper/installd: A social network for owners of iPhone apps,4,Ruby,ios,379,3413,1,1,0,1,0,2010
GitHub - floehopper/installd-client: RubyCocoa client app for installd.com a social network for owners of iPhone apps,3,Ruby,ios,218,181,2,1,0,1,0,2010
GitHub - FlipFlopWeekly/zorios: Real-time link sharer using Firebase as its backend and iPhone app on the frontend.,3,Objective-C,ios,21,17,2,1,0,1,0,2014
GitHub - Flaque/quirk: ✨🐙 A GPL Licensed Cognitive Behavioral Therapy app for iOS and Android. Currently a teaching tool,2000,TypeScript,ios,476,96,4,4,8,1,0,2018
GitHub - flameshikari/ddrg: Generate a repository with mirror links for DriveDroid app,3,Python,android,220,70,1,1,0,1,0,2021
GitHub - firebase/firebase-android-sdk: Firebase Android SDK,1700,Java,android,1489,410,3,8,30,1,0,2018
GitHub - FIAPON/TestesUnidadeUIAndroid: Aplicativo de exemplo testes unitários e testes de UI em Android,0,Kotlin,android,2,1,1,1,0,1,0,2020
GitHub - farzonl/AugmentedRealityApp: An android app I wrote that lets you replace  checkered boards with images.,1,Java,android,2,1,1,1,0,1,0,2013
"GitHub - exalted/PTShowcaseViewController: An initial implementation of a ""showcase"" view( controller) for iOS apps... Visualizes images, videos and PDF files beautifully! (by @pittleorg) [meta: image, photo, video, document, pdf, album, gallery, showcase, gallery, iOS, iPhone, iPad, component, library, viewer]",395,Objective-C,ios,114,47,3,2,1,1,0,2012
"GitHub - exalted/PTImageAlbumViewController: ""Image Album"" — or ""Photo Album"" if you like that better — View( Controller) for all crazy iOS developers out there...",199,Objective-C,ios,73,30,5,2,2,1,0,2012
GitHub - eugmoon/cs193p: Assignments from iTunes U Stanford course CS193P,0,Objective-C,ios,6,3,2,1,0,1,0,2014
GitHub - ermaozi/get_subscribe: ✈️免费机场  / 免费VPN -> 自动获取免clash/v2ray/trojan/sr/ssr 订阅链接，间隔6小时持续更新 | 科学上网 | 翻墙,636,Python,android,17,9,1,1,0,1,0,2021
GitHub - eggie5/android-share-menu: android share menu,26,Java,android,3,2,1,1,0,1,0,2010
GitHub - dlswer23/android,0,Java,android,75,376,2,2,0,1,0,2020
GitHub - dlleng/SwiftSocket: A simple 、powerful tcp library.,7,Swift,ios,13,26,2,1,1,1,0,2021
GitHub - DJMW-KR/DJMW-Android: 너는 어떤 답장을 좋아하니?,0,Kotlin,android,112,26,2,1,0,1,0,2021
GitHub - divyanshudob/SafetyApp: An android app that alerts the user's guardian whenever she is in some kind of emergency situation.,0,Kotlin,android,14,8,1,1,0,1,0,2021
"GitHub - digitalheir/fusion-tables-android: Reparation of http://code.google.com/p/fusion-tables-android to work with post-honeycomb devices. LocationListener still doesn't work well, but at least it doesn't crash.",1,Java,android,3,1,1,1,0,1,0,2012
GitHub - devolonter/Pretty-Painter: Graphics editor for Android.,108,Java,android,118,44,4,2,2,1,0,2011
GitHub - DevLucasYuji/crosslife-suzano-mobile: A Crosslife Suzano Mobile é um aplicativo mobile Android voltado para o público da academia Crosslife de Suzano,1,Kotlin,android,269,226,4,2,1,1,0,2021
"GitHub - DesktopECHO/Pi-hole-for-Android: Pi-hole for Android - DNS ad-blocker originally for Raspberry Pi works great in Linux Deploy.  Runs on any rooted Android 4.0.3+ device, ARMv7 or newer.",27,Shell,android,27,22,2,1,0,1,0,2021
"GitHub - derekli66/TDMarriage: This project was developed for monitoring wedding participants. In Taiwan, the newlyweds invites people to come to their wedding and prepare tables for them. How to monitor current coming guests becomes an important issue. Thus, this project was created for monitoring coming guest on the go.",1,Objective-C,ios,3,2,1,1,0,1,0,2013
"GitHub - dennisreimann/ioctocat: iOctocat v1 - GitHub for iOS (works on the iPhone, iPad, and iPod Touch)",1700,Ruby,ios,1670,1307,7,5,11,1,0,2009
"GitHub - DeFiCh/wallet: DeFiChain Wallet. The DeFi Blockchain Light Wallet for iOS, Android & Web. + Desktop Coming Soon",42,TypeScript,android,857,348,8,6,5,2,0,2021
GitHub - deandreamatias/museum_tour: Mobile app for a tour of a museum exposition - Made with #Flutter,0,Dart,android,56,17,2,1,0,1,0,2020
GitHub - ddwhan0123/Useful-Open-Source-Android: 造福大家，0广告，收集归纳,1400,Markdown,android,3107,1855,55,2,1,1,0,2016
GitHub - davidvalarezo/Fundamentos_Android: Prácticas de Fundamentos de Programación en Android del Máster en Desarrollo de Aplicaciones Móviles (UPV),0,Java,android,13,3,1,1,0,1,0,2019
GitHub - DATL4G/Coilifier-Android: Improves Glide usibility when using Kotlin. Changes default Glide style to the style of Coil,5,Kotlin,android,18,11,1,2,0,1,0,2021
GitHub - dasbluehole/Android-split: Android Rom image spliter(For weak hearted like me :) using GTK,0,C,android,2,1,1,1,0,1,0,2019
GitHub - Darkness4/train-station: A Full Stack demo app with AtreuGo and Modern Android Development/Svelte to keep up with today's standards.,2,Kotlin,android,676,178,6,5,2,1,0,2020
GitHub - danielpassos/selfrj-aerogear-ios: My Presentation Live Coding in SelfRJ 2013,1,Objective-C,ios,5,130,1,1,0,1,0,2013
GitHub - danielpassos/BrazilJS-AndroidJS: My Presentation Live Coding in BrazilJS 2011,1,Java,android,5,3,1,2,1,1,0,2011
GitHub - danielpassos/AndroidConfBrasil2011: My Presentation Live Coding in Android Conf Brasil 2011,0,Java,android,5,2,1,2,0,1,0,2011
"GitHub - couchbase/couchbase-lite-ios: Lightweight, embedded, syncable NoSQL database engine for iOS and MacOS apps.",1500,Objective-C,ios,4516,1559,12,4,16,1,0,2013
GitHub - connectbot/connectbot: ConnectBot is the first SSH client for Android.,1800,Java,android,2032,392,7,5,12,1,0,2009
"GitHub - ConcealNetwork/conceal-mobile: Conceal Mobile - Privacy, DeFI, Messaging & Wallet App",14,JavaScript,android,482,180,10,4,3,1,0,2019
GitHub - computefoundation/enterprise-android-application-development: An enterprise Android application development framework,9,Java,android,11,11,1,1,0,1,0,2018
GitHub - coil-kt/coil: Image loading for Android backed by Kotlin Coroutines.,7400,Kotlin,android,897,126,7,4,6,1,0,2019
GitHub - coddang/iOS_BootCamp_SSAC: 📓 iOS BootCamp 학습 정리 자료,5,Markdown,ios,41,48,2,1,1,1,0,2021
GitHub - cloneconf/Nedium: Read Medium freely on Android!,0,Kotlin,android,84,22,2,1,0,1,0,2021
GitHub - CICS-Careers/starter-ios-project: A starter Xcode project using UIKit,1,Swift,ios,5,3,1,2,0,1,0,2021
GitHub - chupakabr/ios-ui-techniques-example: Badoo iOS UI development techniques example,2,Swift,ios,6,4,1,2,0,1,0,2018
GitHub - chirag64/shimmer.js: JavaScript implementation of the iOS shimmer effect,7,JavaScript,ios,6,3,1,1,0,1,0,2014
"GitHub - CanarysPlayground/mob-devops-demo: Mobile DevOps demo with Xamarin, App Center and VS for Mac",1,C#,ios,158,58,5,4,2,1,0,2021
GitHub - cameronhunter/Escalate: Android app that intercepts SMS messages which match a user-defined RegEx and then goes nuts,1,Java,android,23,18,1,2,1,1,0,2012
GitHub - bws9000/EatDudeAndroid: Mobile Restaurant Menus ( Java | Android ),1,Java,android,1,1,1,1,0,1,0,2012
GitHub - bumptech/glide: An image loading and caching library for Android focused on smooth scrolling,32000,Java,android,2618,490,11,6,23,1,0,2013
GitHub - BrainiumLLC/cargo-mobile: Rust on mobile made easy!,512,Rust,ios,456,193,7,3,4,1,0,2020
GitHub - box/mojito: An automation platform that enables continuous localization.,301,Java,ios,1026,157,2,6,10,1,0,2016
GitHub - BlackIQ/flulator: Open Source Flutter calculator,6,Dart,ios,121,68,2,2,0,1,0,2021
"GitHub - bilibili/ijkplayer: Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support.",29700,C,android,2627,501,6,4,14,1,0,2013
GitHub - bdelliott/wordgame: Word du Jour,4,Python,ios,121,58,1,2,1,1,0,2012
GitHub - bdbergeron/BDBPageViewController: View controller class for displaying paged content.,0,Objective-C,ios,5,9,1,2,0,1,0,2014
GitHub - barelyhuman/custom-rom-index: Community Sourced Android Custom ROM Index,4,JavaScript,android,169,130,7,2,0,1,0,2021
GitHub - Azure/azure-sdk-for-ios: iOS client SDKs for Microsoft Azure,112,Swift,ios,838,258,6,6,7,1,0,2018
GitHub - Azure/azure-sdk-for-android: Android client SDKs for Microsoft Azure,57,Java,android,780,2147,3,6,9,1,0,2018
GitHub - Azure/azure-notificationhubs-xamarin: Azure Notification Hubs Sample for Xamarin Forms,23,C#,android,56,42,1,3,2,1,0,2020
GitHub - awslabs/aws-mobile-appsync-sdk-ios: iOS SDK for AWS AppSync.,245,Swift,ios,429,168,4,6,14,1,0,2017
GitHub - aviafelix/yartemp: Андройдовский виджет для сайта Yartemp.com,1,Java,android,10,14,2,2,0,1,0,2017
GitHub - atsushieno/xamldroid: xaml-bound View for monodroid,8,C#,android,15,9,1,2,1,1,0,2011
"GitHub - atsushieno/monodroid-schema-gen: IT IS A DEAD PROJECT, obsoleted by https://github.com/atsushieno/xamarin-android-shema-generator",19,C#,android,9,3,1,2,1,1,0,2010
GitHub - astroboy0803/RefreshCollectionView: iOS Swift UICollectionView UIRefreshControl UISearchController Suggestion,0,Swift,ios,11,5,1,2,1,1,0,2020
GitHub - asnbd/CalculatorApp: A Simple Calculator Application for Android devices. Developed in Android Studio.,0,Java,android,11,6,1,1,0,1,0,2018
GitHub - ashleyconnor/Timetable-iOS-Application: A small timetable application for iOS using University of Liverpool third year timetable data,1,Objective-C,ios,1,1,1,1,0,1,0,2011
GitHub - asaxena2019/first-ios-project: Built a simple calculator with iOS,0,Swift,ios,19,12,2,1,0,1,0,2020
GitHub - arturgrigor/AGAlertViewWithProgressbar,11,Objective-C,ios,5,3,1,1,0,1,0,2012
GitHub - arnav-deep/GroceryFinder: An Android app to find grocery in some cities. Uses data from Google by Places API,0,Java,android,6,2,1,1,0,1,0,2020
"GitHub - aripollak/PictureMap: An Android application to find the geotagged photos on your device and show them on a map. No longer maintained, but patches/maintainers are welcome.",4,Java,android,79,55,3,2,3,1,0,2011
GitHub - arielm/chronotext-cross: Cross platform infrastructure for developing 2d and 3d applications with C++ and OpenGL,18,C++,android,974,402,4,1,0,1,0,2015
GitHub - AppiumTestDistribution/appium-device-farm: This is an Appium 2.0 plugin designed to manage and create driver sessions on available devices.,50,TypeScript,android,305,148,4,6,6,1,0,2021
GitHub - appium/appium-ios: iOS-specific packages for Appium,1,JavaScript,ios,1366,261,7,6,13,1,0,2021
GitHub - andyatkinson/TrainBrain: Train Brain iOS application has been open sourced!,0,Objective-C,ios,279,110,6,4,2,1,0,2009
GitHub - androiddevnotes/awesome-android-kotlin-apps: 👓 A curated list of awesome android kotlin apps by open-source contributors.,1400,Kotlin,android,1736,1684,27,2,43,1,0,2002
GitHub - android/architecture-samples: A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,39800,Kotlin,android,700,633,5,6,23,1,0,2016
"GitHub - AnaBerigo/Cooking_Home-App-Recipes: Aplicativo desenvolvido em React Native, com intuito de mostrar receitas e filtrar ingredientes. Utilizando a ferramenta Expo.",0,JavaScript,ios,10,4,1,2,0,1,0,2021
GitHub - amarcolini/joos: A comprehensive kotlin library designed for FTC.,0,Kotlin,android,40,16,3,3,1,1,0,2021
GitHub - Alvin9999/new-pac: 翻墙-科学上网、免费翻墙、免费科学上网、免费自由上网、fanqiang、翻墙梯子、免费软件/方法，一键翻墙浏览器，免费shadowsocks/ss/ssr/v2ray/goflyway账号/节点分享，vps一键搭建翻墙服务器脚本/教程，电脑、手机、iOS、安卓、windows、Mac、Linux、路由器翻墙,31600,Markdown,ios,630,152,35,2,1,1,0,2016
GitHub - alimogh/Android-WebView-ProgressBar: How to load WebView with ProgressBar?,1,Java,android,2,1,1,1,0,1,0,2020
GitHub - albertojauregui/taller-iOS-octubre2010: Taller desarrollo iOS (octubre 2010) impartido por René Cruz Flores,0,Markdown,ios,4,2,1,1,0,1,0,2013
GitHub - airbnb/swift: Airbnb's Swift Style Guide.,1400,Markdown,ios,480,286,31,5,26,2,4,2016
GitHub - airbnb/lottie-ios: An iOS library to natively render After Effects vector animations,22200,Swift,ios,927,857,4,5,31,1,0,2016
"GitHub - airbnb/lottie-android: Render After Effects animations natively on Android and iOS, Web, and React Native",32100,Java,android,1367,542,4,5,35,1,0,2016
GitHub - acoustic-analytics/TealeafDebug-SP: Swift package for Tealeaf debug iOS library.,0,Swift,ios,194,188,28,2,1,1,0,2021
GitHub - acoustic-analytics/EOCore: iOS EOCore library repo,0,Ruby,ios,275,194,8,4,2,1,0,2017
GitHub - acoustic-analytics/DigitalAnalyticsDebug-SP,0,Swift,ios,142,140,21,2,1,1,0,2021
GitHub - acoustic-analytics/DigitalAnalytics: iOS Digital Analytics library repo,0,Objective-C,ios,77,38,3,4,1,1,0,2017
GitHub - aburdiss/BrassExcerpts: A React Native app that is a handy orchestral excerpt reference for brass musicians.,2,JavaScript,android,221,41,1,1,0,1,0,2021
GitHub - A2L5E0X1/debloat-adb: Bash Debloat-Scripts for Android Devices (using ADB),22,Shell,android,47,11,3,2,2,1,0,2020
GitHub - 0x0c/UIAlertView-Blocks: UIAlertView blocks extension,1,Objective-C,ios,4,2,1,1,0,1,0,2012
GitHub - 0x0c/M2DSequentialURLConnection,0,Objective-C,ios,7,3,1,2,1,1,0,2013
GitHub - 0x0c/CutomImagePickerController: can tap-focus with showCameraControls disable,6,Objective-C,ios,9,22,4,1,0,1,0,2011
GitHub - 0x0c/CLLocationManager-blocks: CLLocationManager with blocks,2,Objective-C,ios,5,4,1,1,0,1,0,2012
